City,Typology,Country,Car_Modeshare,Public_Transit_Modeshare,Bicycle_Modeshare,Walking_Modeshare,Gasoline_Pump_Price,Road_Deaths_Rate,Subway_Length,Subway_Length_Density,Subway_Stations_per_Hundred_Thousand,Subway_Ridership_per_Capita,Subway_Age,BRT_Length,BRT_System_Length_Density,BRT_Stations_per_Hundred_Thousand_Persons,BRT_Fleet_per_Hundred_Thousand_Persons,BRT_Annual_Ridership_per_Capita,BRT_Age,Bikeshare_Stations,Bikeshare_Stations_per_Hundred_Thousand_Persons,Bikeshare_Number_of_Bikes,Bikeshare_Bicycles_per_Hundred_Thousand_Persons,Bikeshare_Age,Congestion,Congestion_AM_Peak,Congestion_PM_Peak,Traffic_Index,Travel_Time_Index,Inefficiency_Index,Population,Land_Area,Population_Density,Population_Change_1990_–_2000,Population_Change_2000_–_2010,Population_Change_2010_–_2020,Population_Change_2020_–_2025,Urbanization_Rate_2015,Urbanization_Rate_Change_2015_–_2025,GDP_per_Capita,Unemployment_Rate,Cost_of_Living_Index,Rent_Index,Grocery_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Gini_Coefficient,Poverty_Rate,Life_Expectancy,Safety_Index,Internet_Penetration,Digital_Penetration,Innovation_Index,Smartphone_Penetration,CO2_Emissions_per_Capita,Pollution_Index,Street_length_total,Street_Length_Density,Street_Length_Average,Intersection_Count,Intersection_Density,Degree_Average,Streets_per_Node,Circuity,Self-Loop_Proportion,Highway_Proportion,Metro_Propensity_Factor,BRT_Propensity_Factor,BikeShare_Propensity_Factor,Development_Factor,Sustainability_Factor,Population_Factor,Congestion_Factor,Sprawl_Factor,Network_Density_Factor
San Diego(CA),Auto Sprawl,United States,84.6,2.9,0.7,3.2,0.9,8.1,86.1,0.045411392,1.704180064,12.25080386,36,14.0,0.007383966,0.578778135,,1.607717042,,180,5.787781351,1800.0,57.8778135,2.0,27.0,44.0,60.0,190.32,41.68,232.69,3110000,1896,1600,327053,436665,497998,242159,81.6,1.7,57465.0,7.6,77.64,61.08,78.33,75.26,122.93,0.471,15.6,80.8,63.96,73.5,0.78,48.0,72.0,12.6,37.44,13091059.22,5363477333.0,160.648176,45116.0,409.7053756,4.89801816,2.673809172,1.080245156,0.00334558,0.032859245,0.2544879478,0.2085311164,0.3815610523,0.8003909307,0.3348997626,0.0934669262,0.3051332137,0.6603491489,0.3988422061
Guadalajara,BusTransit Sprawl,Mexico,27.0,28.0,,,0.92,21.1,0.0,0.0,0.0,0.0,0,16.0,0.021304927,0.577540107,0.923,8.593,9.0,242,5.176470588,2116.0,45.26203209,4.0,,,,,,,4675000,751,6200,691972,739283,850918,385068,79.2,2.6,14882.0,4.5,31.08,7.62,30.64,26.07,49.53,0.42,40.0,76.7,47.61,49.2,0.5,35.0,35.0,2.4,71.14,13690416.55,614859453.7,184.7709201,46089.0,44.91166878,5.005887459,2.795788202,1.127199508,0.002216509,0.028806164,0.0869851138,0.2443462138,0.4742000447,0.2697736038,0.3345517511,0.1672878557,0.5834626378,0.678189754,0.2499595262
Dallas-Fort Worth(TX),Auto Innovative,United States,90.5,1.4,0.1,1.2,0.58,12.8,150.0,0.028985507,1.01910828,4.713375796,21,0.0,0.0,0.0,0.0,0.0,0.0,32,0.50955414,300.0,4.777070064,5.0,18.0,33.0,46.0,181.32,38.68,189.57,6280000,5175,1200,953473,970218,769962,365633,81.6,1.7,65154.0,6.3,67.8,42.34,61.03,70.38,171.35,0.469,22.5,78.5,57.54,68.1,0.78,52.0,72.0,13.7,45.89,18369192.93,7999072197.0,157.4403288,67679.0,435.4612763,5.163237636,3.068791217,1.06285401,0.004344213,0.037315204,0.2274679707,0.1556004023,0.4123592254,0.7825024296,0.344484223,0.1850552789,0.1731678783,0.9081644705,0.5633369444
Raleigh(NC),Auto Sprawl,United States,88.7,1.2,0.3,1.0,0.65,13.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.0,30.0,49.0,149.0,32.5,164.75,1130000,1342,700,238958,254137,156345,77575,81.6,1.7,49703.0,6.4,70.52,35.5,72.23,69.05,155.65,0.464,15.6,77.8,,73.1,0.78,45.0,72.0,6.0,,5481732.395,5955003007.0,161.374559,18722.0,1086.335957,4.699135663,2.544344231,1.077756153,0.007997185,0.023912785,0.0266436591,0.1484932645,0.3511724312,0.7173998782,0.3756814974,0.0530499359,0.1624702648,0.7034858894,0.3320080125
Seoul-Incheon,MassTransit Heavyweight,South Korea,23.1,65.6,,,1.47,9.1,331.5,0.127992278,1.085896076,111.1346766,43,43.0,0.016602317,,2.120890774,5.090137858,14.0,300,1.272534465,3000.0,12.72534464,3.0,,,,103.79,34.07,102.95,23575000,2590,9100,-626535,-166756,98575,17457,82.5,1.3,31403.0,3.5,84.51,44.98,98.27,48.16,85.4,,2.03,79.4,81.95,92.3,0.82,53.0,88.0,5.7,36.82,10931841.9,9695456107.0,86.57650312,75234.0,886.9005058,5.766043964,3.020953429,1.050624846,0.001178125,0.010300981,0.651934499,0.2769287162,0.3517328535,0.7275660677,0.574291624,0.0921458971,0.5583446801,0.4730911974,0.7256219173
Tegucigalpa,Congested Emerging,Honduras,11.0,80.0,3,5.0,1.03,17.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1155000,148,7800,214746,258569,436291,242415,54.7,5.5,2137.8,,,,,,,0.51,61.0,74.6,,18.6,0.29,25.0,,1.15489309,,2407355.316,1959026280.0,129.5949244,10635.0,813.7669861,5.119624248,2.723910172,1.147129134,0.00206422,0.0,0.1092181938,0.1044975375,0.3626453212,0.123801558,0.2559770165,0.1568710484,0.7322213479,0.372441222,0.2731691667
Conakry,Congested Emerging,Guinea,,,,,0.88,27.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1685000,161,10500,326214,494434,917287,562928,37.2,5.2,735.7,,,,,,,,35.4,59.0,,7.9,0.1,,,0.192422941,,1419842.387,1136547619.0,116.066573,7223.0,800.4744953,5.702406481,2.9231594,1.031449314,0.0002507,0.0,0.0691673245,0.0403132188,0.3427918343,0.022524452,0.2804912198,0.2375389563,0.6922101479,0.3775185116,0.3270206773
Manila,Congested Boomer,Philippines,18.0,30.9,,30.3,0.98,10.5,50.3,0.030821078,0.191888356,17.54906236,33,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,292.66,58.85,289.71,22930000,1632,14100,1985464,1695547,2774275,1849654,44.4,0.5,14222.0,12.5,40.94,16.38,37.12,25.14,44.52,0.4,13.0,68.5,39.28,43.0,0.43,37.0,22.0,1.006838603,92.91,1051794.584,12687408907.0,89.72059918,6804.0,12062.63,5.600757371,3.202461455,1.022341109,0.0,0.0,0.2237993555,0.0746149399,0.4111688459,0.1999303674,0.1107772394,0.4527494978,0.6374680487,0.1850151903,0.8352774162
Beirut,Hybrid Moderate,Lebanon,,,,,0.86,22.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,168.21,35.62,141.08,2225000,673,3300,194157,496695,318600,124739,87.8,1.2,7144.0,,63.36,41.97,46.22,60.84,56.66,,,74.9,51.73,75.6,0.48,33.0,52.0,4.271123267,87.06,580829.9962,13876292357.0,82.89282092,4283.0,23890.45409,4.636702478,3.100197325,1.026704255,0.0,0.016441997,0.0256907463,0.1161126376,0.3396288164,0.3908192239,0.325822753,0.0787017199,0.496427394,0.338769056,0.8652803783
Turin,MassTransit Moderate,Italy,64.0,28.0,1,7.0,2.01,5.6,13.2,0.035106383,1.37704918,23.21311475,11,0.0,0.0,0.0,0.0,0.0,0.0,136,8.918032787,1200.0,78.68852459,7.0,25.0,47.0,44.0,117.21,30.07,99.86,1525000,376,4100,-80586,-74087,42283,71441,69.0,1.9,39445.0,11.3,70.88,20.65,62.21,71.51,86.28,,,82.7,46.04,58.5,0.72,41.0,60.0,8.1,77.26,2219104.236,9731530931.0,100.4574122,12922.0,4385.341966,4.595477032,3.134134276,1.062587285,0.001168763,0.014979801,0.1597181038,0.1180410585,0.4795257079,0.5905326232,0.4429369083,0.0483956198,0.3283104164,0.1522093481,0.5525766558
